Codigo,Clave,desc_prod,Inv,Clasificacion,Promedio Vta Mes,Cobertura (Mes),Cobertura Dias (30)
44645,TRU PIBR-1/2C,PIJA K-LATH P/BROCA 8X13MM 8 X 1/2,62583,A,6046.92,10,310
44345,TRU PIJ-838,PIJA TABLAROCA    8X38MM 8X1 1/2 PIJ-838,3602,A,4237.25,1,26
44343,TRU PIJ-825,PIJA TABLAROCA    8X25MM 8X1 PIJ-825 FIE,3823,A,3677.58,1,31
44344,TRU PIJ-832,PIJA TABLAROCA    8X32MM 8X1 1/4 PIJ-832,4303,A,2944.75,1,44
44646,TRU PIBR-3/4C,PIJA K-LATH P/BROCA 8X19MM 8 X 3/4,5113,A,2946.92,2,52
44347,TRU PIJ-850,PIJA TABLAROCA    8X50MM 8 X 2 PIJ-850 F,3290,A,3678,1,27
44416,TRU PILA-8X11/4,PIJA P/LAMINA   8X32MM 8X1 1/4 FIERO PIL,3506,A,2368.08,1,44
44337,TRU PIJ-625,PIJA TABLAROCA    6X25MM 6X1 PIJ-625 FIE,4514,A,2834.75,2,48
44336,TRU PIJ-619,PIJA TABLAROCA    6X19MM 6X3/4 PIJ-619 F,3929,A,2100,2,56
44339,TRU PIJ-638,PIJA TABLAROCA    6X38MM 6X1 1/2 PIJ-638,4487,A,2412.42,2,56
44338,TRU PIJ-632,PIJA TABLAROCA    6X32MM 6X1 1/4 PIJ-632,4633,A,2297.08,2,61
44349,TRU PIJ-1038,PIJA TABLAROCA   10X 38MM 10X1 1/2 PIJ-1,2956,A,1723.75,2,51
510010,BER 510010,MALLA REFUERZO SENCILLO 510010,4044,A,1807.67,2,67
44647,TRU PIBR-1C,PIJA K-LATH P/BROCA 8X25MM 8 X 1,4069,A,2088.67,2,58
44335,TRU PIJ-613,PIJA TABLAROCA    6X13MM 6X1/2 PIJ-613 P,4395,A,1780,2,74
44417,TRU PILA-8X11/2,PIJA P/LAMINA   8X38MM 8X1 1/2 FIERO PIL,3776,A,1780,2,64
44350,TRU PIJ-1050,PIJA TABLAROCA   10X 50MM 10X2 PIJ-1050,3772,A,1459.67,3,78
44341,TRU PIJ-650,PIJA TABLAROCA    6X50MM 6X 2 PIJ-650 FI,4859,A,1709.75,3,85
48690,TRU PIJ-863,PIJA TABLAROCA    8X63MM 8X2 1/2 PIJ-863,2762,A,1349.58,2,61
44548,TRU TUE-1/4,TUERCA HEXAGONAL 06MM 1/4  FIERO,7591,A,1596.58,5,143
48691,TRU PIJ-875,PIJA TABLAROCA    8X75MM 8X3 PIJ-875 FIE,2778,A,1109.42,3,75
44346,TRU PIJ-844,PIJA TABLAROCA    8X44MM 8X1 3/4 PIJ-844,3097,A,895.08,3,104
44352,TRU PIJ-1075,PIJA TABLAROCA   10X 75MM 10X3 PIJ-1075,2638,A,1047.25,3,76
44422,TRU PILA-10X3/4,PIJA P/LAMINA 10X19MM 10X3/4 FIERO PILA-,1153,A,977.33,1,35
44342,TRU PIJ-819,PIJA TABLAROCA    8X19MM 8X3/4 PIJ-819 F,5575,A,1158.75,5,144
44351,TRU PIJ-1063,PIJA TABLAROCA   10X 63MM 10X2 1/2 PIJ-1,3454,A,728.08,5,142
44348,TRU PIJ-1025,PIJA TABLAROCA   10X 25MM 10X1 PIJ-1025,3278,A,853.5,4,115
44425,TRU PILA-10X11/2,PIJA P/LAMINA 10X38MM 10X1 1/2 FIERO PIL,2316,A,883,3,79
44414,TRU PILA-8X3/4,PIJA P/LAMINA   8X19MM 8X3/4 FIERO PILA-,9831,A,1066.25,9,277
44550,TRU TUE-3/8,TUERCA HEXAGONAL 10MM 3/8 FIERO,2386,A,602.92,4,119
44415,TRU PILA-8X1,PIJA P/LAMINA   8X25MM 8X1 FIERO PILA-8X,3734,A,821.1,5,136
44412,TRU PILA-8X1/2,PIJA P/LAMINA   8X12MM 8X1/2 FIERO PILA-,3391,A,696.5,5,146
45411,TRU PVC-561,CODO HIDR. 90-13MM 1/2 PVC-561 CED-40 FO,445,A,704.42,1,19
UR-2X12-500,ACE UR-2X12-500,CORDON USO RUDO SKY-FORT 2 X 12 UR-2X12-,618.7,A,515.03,1,36
44424,TRU PILA-10X11/4,PIJA P/LAMINA 10X32MM 10X1 1/4 FIERO PIL,3459,A,546.93,6,190
44649,TRU PIBR-1-1/2C,PIJA K-LATH P/BROCA 8X38MM 8 X 1 1/2,3521,A,581.58,6,182
44340,TRU PIJ-644,PIJA TABLAROCA    6X44MM 6X1 3/4 PIJ-644,3558,A,846.17,4,126
48692,TRU PIJ-1032,PIJA TABLAROCA   10X 32MM 10X1 1/4 PIJ-1,3642,A,519.58,7,210
44430,TRU PILA-12X11/2,PIJA P/LAMINA 12X38MM 12X1 1/2 FIERO PIL,1109,A,468.17,2,71
UR-2X10-500,ACE UR-2X10-500,CORDON USO RUDO SKY-FORT 2 X 10 UR-2X10-,920.1,A,354.83,3,78
12500,TRU M-33,CINTA D/AISLAR 19MMX18MTS. NEGRA M-33 TR,240,A,501.67,0,14
AD-2074,IAD AD-2074,VENTILADOR ADIR DE PIE 3 EN 1 DE 18 ASPA,94,A,359.83,0,8
CSKY-B-12C,ACE CSKY-B-12-500,CABLE SKY-FORT NO 12 BLANCO X METROS,221.6,A,440.58,1,15
